date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:28	176735/176735	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/datatable.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/datatable.html	(from )
09:48:30	142/142	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Jun%202018%2009:45:16%20GMT	https://getbootstrapadmin.com/robots.txt		(from )
09:48:32	5093/5093	---M--	200	added ('OK')	image/png	etag:%225a102efc-19af%22	https://getbootstrapadmin.com/remark/base/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/assets/images/apple-touch-icon.png	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:34	170726/170726	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efd-29ae6%22	https://getbootstrapadmin.com/remark/global/css/bootstrap.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/css/bootstrap.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:35	314673/314673	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efd-4cd31%22	https://getbootstrapadmin.com/remark/global/css/bootstrap-extend.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/css/bootstrap-extend.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:39	4400/4400	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efd-1130%22	https://getbootstrapadmin.com/remark/global/css/skintools.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/css/skintools.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:40	236461/236461	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efc-39bad%22	https://getbootstrapadmin.com/remark/base/assets/css/site.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/assets/css/site.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:40	7702/7702	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efc-1e16%22	https://getbootstrapadmin.com/remark/base/assets/js/Plugin/skintools.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/assets/js/Plugin/skintools.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:41	43614/43614	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-aa5e%22	https://getbootstrapadmin.com/remark/global/vendor/animsition/animsition.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/animsition/animsition.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:42	3485/3485	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-d9d%22	https://getbootstrapadmin.com/remark/global/vendor/asscrollable/asScrollable.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/asscrollable/asScrollable.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:43	796/796	---MCZ	200	added ('OK')	text/css	etag:W/%225a102eff-31c%22	https://getbootstrapadmin.com/remark/global/vendor/switchery/switchery.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/switchery/switchery.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:43	7036/7036	---MCZ	200	added ('OK')	text/css	etag:W/%225a102eff-1b7c%22	https://getbootstrapadmin.com/remark/global/vendor/intro-js/introjs.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/intro-js/introjs.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:44	2360/2360	---MCZ	200	added ('OK')	text/css	etag:W/%225a102eff-938%22	https://getbootstrapadmin.com/remark/global/vendor/slidepanel/slidePanel.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/slidepanel/slidePanel.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:48:45	31952/31952	---MCZ	200	added ('OK')	text/css	etag:W/%225a102efe-7cd0%22	https://getbootstrapadmin.com/remark/global/vendor/flag-icon-css/flag-icon.min.css?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/flag-icon-css/flag-icon.min599c.css	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
